GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),must-run?,Day Ahead Generator?
280,Solar58,Solar,bus112,8.01,0,0,8.01,8.01,0,0,0,0,1,0
281,Solar59,Solar,bus105,12.42,0,0,12.42,12.42,0,0,0,0,1,0
282,Solar60,Solar,bus105,15.89,0,0,15.89,15.89,0,0,0,0,1,0
283,Solar61,Solar,bus105,1.97,0,0,1.97,1.97,0,0,0,0,1,0
284,Solar62,Solar,bus069,99.9,0,0,99.9,99.9,0,0,0,0,1,0
285,Solar63,Solar,bus019,60,0,0,60,60,0,0,0,0,1,0
286,Solar64,Solar,bus015,21,0,0,21,21,0,0,0,0,1,0
287,Solar65,Solar,bus019,64.8,0,0,64.8,64.8,0,0,0,0,1,0
288,Solar66,Solar,bus018,123.5,0,0,123.5,123.5,0,0,0,0,1,0
289,Solar67,Solar,bus018,40,0,0,40,40,0,0,0,0,1,0
290,Solar68,Solar,bus105,96,0,0,96,96,0,0,0,0,1,0
291,Solar69,Solar,bus105,123,0,0,123,123,0,0,0,0,1,0
292,Solar70,Solar,bus092,150,0,0,150,150,0,0,0,0,1,0
293,Solar71,Solar,bus100,104.99,0,0,104.99,104.99,0,0,0,0,1,0
294,Solar72,Solar,bus105,25.2,0,0,25.2,25.2,0,0,0,0,1,0
295,Solar73,Solar,bus069,25,0,0,25,25,0,0,0,0,1,0
296,Solar74,Solar,bus076,25,0,0,25,25,0,0,0,0,1,0
297,Solar75,Solar,bus055,30,0,0,30,30,0,0,0,0,1,0
298,STCoal01,Coal,bus018,20,21.3,195.84,3.33,3.33,24,48,19.8,3116.69,0,0
299,STNG01,Natural gas,bus070,320,49.7,1977.156,5.42,5.42,8,12,25.6,25442.4,0,1
300,STNG02,Natural gas,bus072,325,48.5,3096.63,5.33,5.33,8,12,26,25839.94,0,1
301,STNG03,Natural gas,bus025,712,47.4,6499.872,11.83,11.83,8,12,56.96,56609.34,0,1
302,STNG04,Natural gas,bus019,62.6,24.1,1877.526,0.17,0.17,8,12,61.97,4977.17,0,1
303,STNG05,Natural gas,bus024,62.6,24.1,1877.526,0.17,0.17,8,12,61.97,4977.17,0,1
304,STNG06,Natural gas,bus092,110.25,53.9,1164.942,1.72,1.72,8,12,8.82,8765.7,0,1
305,STNG07,Natural gas,bus092,110.25,54.6,947.214,1.82,1.82,8,12,8.82,8765.7,0,1
306,STNG08,Natural gas,bus092,306,52.8,2607.552,4.98,4.98,8,12,24.48,24329.29,0,1
307,STNG09,Natural gas,bus092,345.6,50.6,3198.204,5.48,5.48,8,12,27.65,27477.79,0,1
308,STNG10,Natural gas,bus105,106.25,51.6,1374.192,1.77,1.77,8,12,8.5,8447.67,0,1
309,STOther01,Other,bus024,4.6,1,0,0.05,0.05,6,6,2.07,365.73,0,0
310,STOther02,Other,bus024,30.4,1.9,0,0.62,0.62,1,1,30.1,966.81,0,0
311,Wind01,Wind,bus024,11.5,0,0,11.5,11.5,0,0,0,0,0,0
312,Wind02,Wind,bus024,38,0,0,38,38,0,0,0,0,0,0
313,Wind03,Wind,bus024,10,0,0,10,10,0,0,0,0,0,0
314,Wind04,Wind,bus024,5,0,0,5,5,0,0,0,0,0,0
315,Wind05,Wind,bus024,1.1,0,0,1.1,1.1,0,0,0,0,0,0
316,Wind06,Wind,bus027,24.1,0,0,24.1,24.1,0,0,0,0,0,0
317,Wind07,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0
318,Wind08,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0
319,Wind09,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0
320,Wind10,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0
321,Wind11,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0
322,Wind12,Wind,bus031,97.5,0,0,97.5,97.5,0,0,0,0,0,0
323,Wind13,Wind,bus031,58.7,0,0,58.7,58.7,0,0,0,0,0,0
324,Wind14,Wind,bus100,400,0,0,400,400,0,0,0,0,0,0
325,Wind15,Wind,bus082,50,0,0,50,50,0,0,0,0,0,0
326,Wind16,Wind,bus082,149.5,0,0,149.5,149.5,0,0,0,0,0,0
327,Wind17,Wind,bus082,149.5,0,0,149.5,149.5,0,0,0,0,0,0
